 INFO  Accepting connections at http://localhost:8000
 HTTP  25/4/2026 8:49:03 pm ::1 GET /public/NextEdgeAi.png
 HTTP  25/4/2026 8:49:03 pm ::1 GET /public/Anuranan.png
 HTTP  25/4/2026 8:49:03 pm ::1 Returned 304 in 7 ms
 HTTP  25/4/2026 8:49:03 pm ::1 Returned 304 in 6 ms
 HTTP  25/4/2026 8:49:03 pm ::1 Returned 304 in 7 ms
 HTTP  25/4/2026 8:49:03 pm ::1 Returned 304 in 8 ms
 HTTP  25/4/2026 8:49:04 pm ::1 GET /public/logo.png
 HTTP  25/4/2026 8:49:04 pm ::1 Returned 304 in 2 ms
 HTTP  25/4/2026 8:50:33 pm ::1 GET /
 HTTP  25/4/2026 8:50:33 pm ::1 Returned 304 in 2 ms
 HTTP  25/4/2026 8:50:33 pm ::1 GET /style.css
 HTTP  25/4/2026 8:50:33 pm ::1 Returned 304 in 2 ms
 HTTP  25/4/2026 8:50:33 pm ::1 GET /public/logo.png
 HTTP  25/4/2026 8:50:33 pm ::1 Returned 304 in 2 ms
 HTTP  25/4/2026 8:50:33 pm ::1 GET /script.js
 HTTP  25/4/2026 8:50:33 pm ::1 Returned 304 in 2 ms
 HTTP  25/4/2026 8:50:33 pm ::1 GET /public/poster.gif
 HTTP  25/4/2026 8:50:33 pm ::1 Returned 304 in 3 ms
 HTTP  25/4/2026 8:50:33 pm ::1 GET /public/TrackExp.png
 HTTP  25/4/2026 8:50:33 pm ::1 GET /public/NextEdgeAi.png
 HTTP  25/4/2026 8:50:33 pm ::1 Returned 304 in 6 ms
 HTTP  25/4/2026 8:50:33 pm ::1 Returned 304 in 5 ms
 HTTP  25/4/2026 8:50:33 pm ::1 GET /public/Anuranan.png
 HTTP  25/4/2026 8:50:33 pm ::1 Returned 304 in 2 ms
 HTTP  25/4/2026 8:50:33 pm ::1 GET /public/logo.png
 HTTP  25/4/2026 8:50:33 pm ::1 Returned 304 in 3 ms
 HTTP  25/4/2026 8:51:34 pm ::1 GET /public/EmployePortal.png
 HTTP  25/4/2026 8:51:34 pm ::1 GET /public/Protfolio.png
 HTTP  25/4/2026 8:51:34 pm ::1 GET /public/YourGPT.png
 HTTP  25/4/2026 8:51:34 pm ::1 Returned 200 in 7 ms
 HTTP  25/4/2026 8:51:34 pm ::1 Returned 200 in 13 ms
 HTTP  25/4/2026 8:51:34 pm ::1 Returned 200 in 19 ms
